able||adj.|["adj. 能； 有能力的；能干的"]
address||n.|["n. 地址；演讲；致辞；说话的技巧；称呼\nvt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"]
agree||vi.|["vi. vi. 同意，意见一致；约定，商定\nvt. 同意，赞成；承认；约定，商定"]
area||n.|["n. 区域，地区；面积；范围"]
blank||n.|["n. 空白；空虚；空白表格\nadj. 空白的；空虚的；单调的\nvt. 使…无效；使…模糊；封锁\nvi. 消失；成为空白"]
book||n.|["n. 书籍；卷；帐簿；名册；工作簿\nvt. 预订；登记"]
case||n.|["n. 情况；实例；箱\nvt. 包围；把…装于容器中"]
change||n.|["n. 变化；找回的零钱\nvt. 改变；交换\nvi. 改变；兑换"]
consider||vi.|["vi. 考虑；认为；细想\nvt. 考虑；认为；考虑到；细想"]
draw||n.|["n. 平局；抽签\nvi. 拉；拖\nvt. 画；拉；吸引"]
education||n.|["n. 教育；培养；教育学"]
end||n.|["n. 结束；目标；尽头；末端；死亡\nvi. 结束，终止；终结\nvt. 结束，终止；终结"]
even||adj.|["adj.  偶数的；平坦的；相等的\nadv. 甚至；即使；还；实际上\nvt. 使平坦；使相等\nvi. 变平；变得可比较；成为相等"]
example||n.|["n. 例子；榜样\nvt. 作为…的例子；为…做出榜样\nvi. 举例"]
explain||v.|["v. 说明；解释"]
face||n.|["n. 脸；表面；面子；面容；外观；威信\nvi. 向；朝\nvt. 面对；面向；承认；抹盖"]
group||n.|["n. 组；团体\nadj. 群的；团体的\nvt. 把…聚集；把…分组\nvi. 聚合"]
happen||vi.|["vi. 发生；碰巧；偶然遇到"]
head||n.|["n. 头；头痛；上端；最前的部分；理解力\nadj. 头的；主要的；在顶端的\nvt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题\nvi. 出发；成头状物；船驶往"]
lead||n.|["n. 领导；铅；导线；榜样\nvt. 领导；致使；引导；指挥\nvi. 领导；导致；用水砣测深\nadj. 带头的；最重要的"]
matter||n.|["n. 物质；事件\nvi. 有关系；要紧"]
mind||n.|["n. 理智，精神；意见；智力；记忆力\nvt. 介意；专心于；照料\nvi. 介意；注意"]
name||n.|["n. 名称，名字；姓名；名誉\nvt. 命名，任命；指定；称呼；提名；叫出\nadj. 姓名的；据以取名的"]
piece||n.|["n. 块；件；篇；硬币\nvt. 修补；接合；凑合"]
present||n.|["n. 现在；礼物；瞄准\nadj. 现在的；出席的\nvt. 提出；介绍；呈现；赠送\nvi. 举枪瞄准"]
reason||n.|["n. 理由；理性；动机\nvt. 说服；推论；辩论\nvi. 推论；劝说"]
result||n.|["n. 结果；成绩；答案；比赛结果\nvi. 结果；导致；产生"]
role||n.|["n. 角色；任务"]
run||n.|["n. 奔跑；赛跑；趋向；奔跑的路程\nvt. 管理，经营；运行；参赛\nvi. 经营；奔跑；运转"]
seem||vi.|["vi. 似乎；像是；装作"]
set||n.|["n.  集合；一套；布景； 装置\nadj. 固定的；规定的；固执的\nvi. (日,月)落沉；凝固；结果\nvt. 树立；点燃；点缀；"]
short||n.|["n. 短；缺乏；短路；短裤\nadj. 短的；不足的；矮的，低的\nadv. 不足；突然；唐突地"]
state||n.|["n. 国家；州；情形\nadj. 国家的；州的；正式的\nvt. 规定；声明；陈述"]
suggest||vt.|["vt. 提议，建议；启发；使人想起；显示；暗示"]
